GENE	CONDITION	INHERITANCE	ALLELIC CONDITIONS		
CARD9	"Candidiasis, familial, 2"	AR			
CASK	"Mental retardation and microcephaly with pontine and cerebellar hypoplasia; FG syndrome 4; Mental retardation, with or without nystagmus"	XL	N/A		
CASP10	"Autoimmune lymphoproliferative syndrome, type IIA"	AD			
CASP8	Caspase 8 defiency	AR			
CASQ2	"Ventricular tachycardia, catecholaminergic, polymorphic, 2"	AR			
CASR	"Hyperparathyroidism, neonatal; Hypocalcemia, autosomal dominant; Hypocalcemia, autosomal dominant, with Bartter syndrome; Hypocalciuric hypercalcemia, type I; Hyperparathyroidism, neonatal severe primary; Hypoparathyroidism, familial isolated; Hyperparathyroidism, familial primary "	AD/AR	Allelic with Idiopathic generalized epilepsy 8 (AD)		
CAT	Acatalasemia	AR			
CAV1	"Lipodystrophy, congenital generalized, type 3"	AR	"Allelic with Pulmonary artery hypertension, autosomal dominant (AD)"		
CAV3	"Cardiomyopathy, familial hypertrophic; Long QT syndrome 9; Creatine phosphokinase, elevated serum"	AD	"Allelic with Muscular dystrophy, limb-girdle, type IC (AD); Myopathy, distal, Tateyama type (AD); Rippling muscle disease (AD/AR)"		
CBL	Noonan syndrome-like disorder with or without juvenile myelomonocytic leukemia	AD			
CBS	Homocystinuria due to cystathionine beta-synthase deficiency	AR			
CBX2	"46,XY sex reversal 5"	AR	N/A		
CC2D1A	"Mental retardation, autosomal recessive 3"	AR	N/A		
CC2D2A	"Joubert syndrome 9; Meckel syndrome, type 6; COACH syndrome"	AR	N/A		
CCBE1	Hennekam lymphangiectasia-lymphedema syndrome	AR			
CCDC103	"Ciliary dyskinesia, primary, 17"	AR			
CCDC11	"Laterality disorder, autosomal recessive"	AR	N/A		
CCDC114	"Ciliary dyskinesia, primary, 20"	AR			
CCDC137	Schizophrenia	AD	N/A		
CCDC28B	"Bardet-Biedl syndrome, modifier of"	AD	N/A		
CCDC39	"Ciliary dyskinesia, primary, 14"	AR			
CCDC40	"Ciliary dyskinesia, primary, 15"	AR			
CCDC50	"Deafness, autosomal dominant 44"	AD	N/A		
CCDC8	Three M syndrome 3	AR	N/A		
CCM2	Cerebral cavernous malformations 2	AD			
CCT5	"Neuropathy, hereditary sensory, with spastic paraplegia"	AR	N/A		
CD151	Raph blood group	BG	Allelic with Nephropathy with pretibial epidermolysis bullosa and deafness (AR)		
CD19	"Immunodeficiency, common variable 3"	AR			
CD207	 Birbeck granule deficiency	AD	N/A		
CD247	Immunodeficiency due to defect in CD3-Zeta	AR			
CD27	Lymphoproliferative syndrome 2	AR			
CD2AP	"Glomerulosclerosis, focal segmental, 3"	AR	N/A		
CD320	Methylmalonic aciduria due to transcobalamin receptor defect	AR			
CD36	Platelet glycoprotein IV deficiency	AR			
CD3D	"Severe combined immunodeficiency, autosomal recessive, T-cell negative, B-cell positive, NK cell positive"	AR			
CD3E	"Severe combined immunodeficiency, autosomal recessive, T-cell negative, B-cell positive, NK cell positive"	AR			
CD3G	Immunodeficiency due to defect in CD3-gamma	AR			
CD4	OKT4 epitope deficiency	AD	N/A		
CD40	"Immunodeficiency with Hyper-IgM, type 3"	AR			
CD40LG	"Immunodeficiency, with hyper-IgM, type 1"	XL			
CD44	"Blood group, Indian"	BG			
CD46	"Hemolytic uremic syndrome, atypical, susceptibility to, 2"	AD/AR			
CD55	"Blood group, Cromer system"	BG			
CD59	CD59 deficiency	AR			
CD79A	Agammaglobulinemia 3	AR			
CD79B	Agammaglobulinemia 6	AR			
CD81	"Immunodeficiency, common variable, 6"	AR			
CD8A	"CD8 deficiency, familial"	AR			
CD96	C syndrome( Opitz Trigonocephaly syndrome)	AD	N/A		
CDAN1	"Anemia, dyserythropoietic  congenital, type I"	AR			
CDC6	Meier-Gorlin syndrome 5	AR	N/A		
CDC73	"Hyperparathyroidism, familial isolated; Hyperparathyroidism-jaw tumor syndrome; Carcinoma, parathyroid"	AD			
CDH1	"Gastric cancer, familial; Breast cancer, lobular"	AD			
CDH15	"Mental retardation, autosomal dominant 3"	AD	N/A		
CDH23	"Deafness, autosomal recessive 12; Usher syndrome, type 1D; Usher syndrome, type 1D /F digenic"	AR			
CDH3	"Hypotrichosis, congenital, with juvenile macular dystrophy; Ectodermal dysplasia, ectrodactyly, and macular dystrophy syndrome"	AR	N/A		
CDHR1	Cone-rod dystrophy 15; Retinitis pigmentosa 65	AR	N/A		
CDK4	"Melanoma, cutaneous malignant, susceptibility to, 3"	AD			
CDK5RAP2	"Microcephaly, primary autosomal recessive, 3"	AR			
CDKL5	"Epileptic encephalopathy, early infantile, 2; Rett syndrome, atypical; Angelman-like syndrome"	XL	N/A		
CDKN1B	"Multiple endocrine neoplasia, type IV"	AD			
CDKN1C	IMAGE syndrome; Beckwith-Wiedemann syndrome	AD			
CDKN2A	"Melanoma, familial; Melanoma-pancreatic cancer syndrome"	AD			
CDON	Holoprosencephaly 11	AD	N/A		
CDSN	Peeling skin syndrome; Hypotrichosis simplex of scalp 1 	AD/AR	N/A		
CDT1	Meier-Gorlin syndrome 4	AR	N/A		
CEACAM16	"Deafness, autosomal dominant 4B"	AD	N/A		
CEBPA	"Acute myeloid leukemia, familial"	AD			
CEBPE	Specific granule deficiency	AR			
CEL	"Maturity-onset diabetes of the young, type 8"	AD			
CENPJ	"Seckel syndrome 4; Microcephaly, primary autosomal recessive, 6"	AR	N/A		
CEP135	"Microcephaly 8, primary, autosomal recessive"	AR	N/A		
CEP152	"Seckel syndrome 5; Microcephaly 4, primary, autosomal recessive"	AR	N/A		
CEP164	Nephronophthisis 15	AR	N/A		
CEP290	Leber congenital amaurosis 10; Meckel syndrome 4; Senior-Loken syndrome 6; Joubert syndrome 5; Bardet-Biedl syndrome 14	AR	N/A		
CEP41	Joubert syndrome 15	AR/Digenic 	N/A		
CEP57	Mosaic variegated aneuploidy syndrome 2	AR			
CEP63	Seckel syndrome 6	AR	N/A		
CERKL	Retinitis pigmentosa 26	AR	N/A		
CES1	Carboxylesterase 1 deficiency	AR	N/A		
CETP	Hyperalphalipoproteinemia 1	AD/AR	N/A		
CFB	"Hemolytic uremic syndrome, atypical "	AD			
CFC1	"Transposition of the great arteries, dextro-looped 2; Double-outlet right ventricle; Heterotaxy, visceral, 2, autosomal"	AD	N/A		
CFD	Complement Factor D Deficiency	AR			
CFH	"Hemolytic uremic syndrome, atypical; Complement factor H deficiency"	AD/AR	Allelic with Basal laminar drusen (AR)		
CFHR1	"Hemolytic-uremic syndrome, atypical, susceptibility to"	AD/AR/Digenic			
CFHR3	"Hemolytic-uremic syndrome, atypical, susceptibility to"	AD/AR/Digenic			
CFHR4	"Hemolytic-uremic syndrome, atypical, susceptibility to"	AD/AR/Digenic			
CFI	"Hemolytic uremic syndrome, atypical; Complement factor I deficiency"	AD/AR			
CFL2	Nemaline myopathy 7	AR	N/A		
CFP	"Properdin deficiency, X-linked"	XL			
CFTR	Cystic fibrosis	AR	Allelic with Congenital bilateral absence of the vas deferens (AR)		
CHAT	"Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency; Myasthenic syndrome, congenital, associated with episodic apnea"	AR			
CHD4	Schizophrenia	AD	N/A		
CHD7	CHARGE sydnrome; Hypogonadotropic hypogonadism; Kallmann syndrome	AD			
CHD8	"Autism, 18"	AD	N/A		
CHEK2	Li-Fraumeni syndrome 2	AD/AR			
CHIT1	Chitotriosidase deficiency	AR	N/A		
CHKB	"Muscular dystrophy, congenital, megaconial type"	AR			
CHM	Choiroideremia	XL	N/A		
CHMP1A	"Pontocerebellar hypoplasia, type 8"	AR	N/A		
CHMP2B	"Amyotrophic lateral sclerosis, CHMP2B-related; Dementia, familial, nonspecific; Frontotemporal dementia, chromosome 3-linked "	AD	N/A		
CHMP4B	"Cataract, posterior polar, 3"	AD	N/A		
CHN1	Duane retraction syndrome 2	AD	N/A		
CHRM3	Eagle-Barrett syndrome	AR	N/A		
CHRNA1	"Myasthenic syndrome, congenital, fast channel; Myasthenic syndrome, slow-channel congenital  "	AD/AR	"Allelic with Multiple pterygium syndrome, lethal type (AR)"		
CHRNA2	"Epilepsy, nocturnal frontal lobe, type 4"	AD	N/A		
CHRNA4	"Epilepsy, nocturnal frontal lobe, type 1"	AD	N/A		
CHRNB1	"Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency; Myasthenic syndrome, slow-channel congenital "	AD/AR			
CHRNB2	"Epilepsy, nocturnal frontal lobe, type 3"	AD	N/A		
CHRND	"Myasthenic syndrome, congenital, fast channel; Myasthenic syndrome, slow-channel congenital "	AD/AR	"Allelic with Multiple pterygium syndrome, lethal type (AR)"		
CHRNE	"Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency; Myasthenic syndrome, slow-channel congenital "	AD/AR			
CHRNG	Multiple pterygium syndrome; Escobar syndrome	AR	N/A		
CHST14	"Ehlers-Danlos syndrome, musculocontractural type"	AR			
CHST3	Spondyloepiphyseal dysplasia with congenital joint dislocations	AR	N/A		
CHST6	"Macular dystrophy, corneal, 1; Macular dystrophy, corneal, 2"	AR	N/A		
CHSY1	Temtamy preaxial brachydactyly syndrome	AR			
CHUK	Cocoon syndrome	AR	N/A		
CIB2	"Deafness, autosomal recessive 48; Usher syndrome type IJ"	AR			
CIDEC	"Lipodystrophy, familial partial, type 5"	AR			
CIITA	"Bare lymphocyte syndrome, type II"	AR			
CIRH1A	North American Indian childhood cirrhosis	AR			
CISD2	Wolfram syndrome 2	AR			
CITED2	Atrial septal defect 8; Ventricular septal defect 2	AD	N/A		
CIZ1	"Primary cervical dystonia, adult-onset"	AD	N/A		
CLCF1	Cold-induced sweating syndrome 2	AR			
CLCN1	"Myotonia congenita, autosomal dominant; Myotonia congenita, autosomal recessive, Myotonia levior"	AD/AR			
CLCN2	"Epilepsy, idiopathic, generalized, susceptibility to, 11; Epilepsy, juvenile, absence, suscepibility to, 2;  Epilepsy, juvenile myoclonic, susceptibility to, 8"	AD	N/A		
CLCN5	"Dent disease 1; Hypophosphatemic rickets, X-linked recessive; Nephrolithiasis, type I; Proteinuria, low molecular weight, with hypercalciuric nephrocalcinosis"	XL			
CLCN7	"Osteopetrosis, autosomal recessive 4; Osteopetrosis, autosomal dominant 2"	AD/AR			
CLCNKA	"Bartter syndrome, type 4, digenic"	AR/Digenic			
CLCNKB	"Bartter syndrome, type 3; Bartter syndrome, type 4, digenic"	AR/Digenic			
CLDN1	"Ichthyosis, leukocyte vacuoles, alopecia, and sclerosing cholangitis"	AR	N/A		
CLDN14	"Deafness, autosomal recessive 29"	AR			
CLDN16	"Hypomagnesemia 3, renal"	AR			
CLDN19	"Hypomagnesemia 5, renal, with ocular involvement"	AR			
CLEC7A	"Candidiasis, familial, 4"	AR			
CLMP	Congenital short bowel and malrotation syndrome	AR			
CLN3	"Ceroid lipofuscinosis, neuronal, 3"	AR	N/A		
CLN5	"Ceroid lipofuscinosis, neuronal, 5"	AR	N/A		
CLN6	"Ceroid lipofuscinosis, neuronal, 6; Ceroid lipofuscinosis, neuronal, Kufs type, adult onset "	AR	N/A		
CLN8	"Ceroid lipofuscinosis, neuronal, 8, Northern epilepsy variant"	AR	N/A		
CLRN1	"Retinitis pigmentosa 61; Usher sydnrome, type 3A"	AR	N/A		
CNBP	Myotonic dystrophy 2	AD			
CNGA1	Retinitis pigmentosa 49	AR	N/A		
CNGA3	Achromatopsia 2; Leber congenital amaurosis	AR	N/A		
CNGB1	Retinitis pigmentosa 45	AR	N/A		
CNGB3	"Achromatopsia 3; Macular degeneration, juvenile "	AR	N/A		
CNNM2	"Hypomagnesemia 6 ,renal"	AR			
CNNM4	Jalili syndrome	AR	N/A		
CNTN1	"Myopathy, congenital, Compton-North"	AR	N/A		
CNTNAP2	Cortical dysplasia-focal epilepsy syndrome; Pitt-Hopkins like syndrome 1	AR	N/A		
COA5	Mitochondrial complex IV deficiency	AR	N/A		
COCH	"Deafness, autosomal dominant 9"	AD	N/A		
COG1	"Congenital disorder of glycosylation, type IIg"	AR			
COG4	"Congenital disorder of glycosylation, type IIj"	AR			
COG5	"Congenital disorder of glycosylation, type IIi"	AR			
COG6	"Congenital disorder of glycosylation, type Iil"	AR			
COG7	"Congenital disorder of glycosylation, type IIe"	AR			
COG8	"Congenital disorder of glycosylation, type IIh"	AR			
COL10A1	"Metaphyseal chondrodysplasia, Schmid type"	AD	N/A		
COL11A1	"Stickler syndrome, type II; Fibrochondrogenesis; Marshall syndrome"	AD/AR			
COL11A2	"Deafness, autosomal dominant 13; Deafness, autosomal recessive 53; Fibrochondrogenesis 2; Weissenbacher-Zweymuller syndrome;  Otospondylomegaepiphyseal dysplasia; Stickler syndrome, type III"	AD/AR			
COL17A1	"Epidermolysis bullosa, junctional, non-Herlitz type"	AR	N/A		
COL18A1	Knobloch syndrome 1	AR	N/A		
COL1A1	"Ehlers-Danlos syndrome, type VII, autosomal dominant; Ehlers-Danlos syndrome, type I"	AD	"Allelic with Caffey disease (AD); Osteogenesis imperfecta, types I, II, III, and IV (AD): in OI, medical treatment (eg, with pamidronate) may be beneficial, but evidence does not show that early (genetic) diagnosis would necessarily be beneficial"		
COL1A2	"Ehlers-Danlos syndrome, cardiac valvular form "	AR	"Allelic with Osteogenesis imperfecta, types II,III, and IV (AD) (for which medical treatment (eg, with pamidronate) may be beneficial, but evidence does not show that early (genetic) diagnosis would necessarily advantageous in terms of medical treatment); Ehlers-Danlos syndrome, type VII, autosomal dominant (AD)"		
COL2A1	"Stickler syndrome, type I; Rhegmatogenous retinal detachment, autosomal dominant; Czech dysplasia; Otospondylomegaepiphyseal dysplasia; Epiphyseal dysplasia, multiple, with myopia and deafness; Avascular necrosis of femoral head, primary"	AD	"Allelic with: Achondrogenesis, type II (AD); Hypochondrogenesis (AD); Spondyloepimetaphyseal dysplasia, Strudwick type (AD); Spondyloepimetaphyseal dysplasia, Namaqualand type (AD); Spondyloepiphyseal dysplasia congenita (AD); Kniest dysplasia (AD); Platyspondylic skeletal dysplasia, Torrance type (AD); Vitreoretinopathy with phalangeal epiphyseal dysplasia (AD); Legg-Calve-Perthes disease (AD); Osteoarthritis with mild chondrodysplasia (AD); Spondyloperipheral dysplasia (AD)"		
COL3A1	"Ehlers-Danlos syndrome, type IV"	AD			
COL4A1	"Angiopathy, hereditary, with nephropathy, aneurysms, and muscle cramps; Brain small vessel disease with Axenfeld-Rieger anomaly; Anterior segment dysgenesis with  cerebral involvement; Porencephaly 1 "	AD			
COL4A2	"Hemorrhage, intracerebral, susceptibility to"	AD	Allelic with Porencephaly 2 (AD)		
COL4A3	"Alport syndrome, autosomal recessive"	AD/AR	"Allelic with Hematuria, benign familial (AD)"		
COL4A4	"Alport syndrome, autosomal recessive"	AD/AR	"Allelic with Hematuria, benign familial (AD)"		
COL4A5	"Alport syndrome, X-linked"	XL			
COL5A1	"Ehlers-Danlos syndrome, type I; Ehlers-Danlos syndrome, type II"	AD			
COL5A2	"Ehlers-Danlos syndrome, type I; Ehlers-Danlos syndrome, type II"	AD			
COL6A1	Ullrich congenital muscular dystrophy; Bethlem myopathy	AD/AR	N/A		
COL6A2	"Ullrich congenital muscular dystrophy ; Myosclerosis, congenital; Bethlem myopathy; Epilepsy, progressive myoclonic, autosomal recessive"	AD/AR	N/A		
COL6A3	Ullrich congenital muscular dystrophy; Bethlem myopathy 	AD/AR	N/A		
COL7A1	"Epidermolysis bullosa dystrophica, autosomal recessive; Epidermolysis bullosa dystrophica, autosomal dominant; Epidermolysis bullosa dystrophica inversia; Epidermolysis bullosa pruriginosa; Nail disorder, nonsyndromic congenital, 8; Epidermolysis bullosa dystrophica, Bart type; Epidermolysis bullosa, pretibial; Transient bullous dermolysis of the newborn "	AD/AR	N/A		
COL8A2	"Corneal dystrophy polymorphous posterior, 2; Corneal dystrophy, Fuchs endothelial, 1"	AD	N/A		
COL9A1	"Stickler syndrome, type IV"	AR	"Allelic with Epiphyseal dysplasia, multiple, 6 (AD)"		
COL9A2	"Stickler syndrome, Type V"	AR	"Allelic with Epiphyseal dysplasia, multiple, 2 (AD)"		
COL9A3	"Epiphyseal dysplasia, multiple, 3"	AD	N/A		
COLEC11	3MC syndrome 2	AR	N/A		
COLQ	"Myasthenic syndrome, congenital, associated with acetylcholine receptor deficiency"	AR			
COMP	Pseudoachondroplasia; Multiple ephiphyseal dysplasia	AD	N/A		
COMT	"Medication response, association with"	AD			
COQ2	Coenzyme Q10 deficiency; COQ2-associated nephropathy	AR			
COQ6	Coenzyme Q10 deficiency 6	AR			
COQ9	Coenzyme Q10 deficiency	AR			
CORIN	Preeclampsia/eclampsia 5	AD			
COX10	Mitochondrial complex IV deficiency	AR	N/A		
COX14	Mitochondrial complex IV deficiency	AR	N/A		
COX15	"Leigh syndrome; Cardiomyopathy, hypertrophic, early-onset fatal"	AR	N/A		
COX3	"Myoglobinuria, recurrent"	Maternal	Allelic with Leber hereditary optic neuropathy (Maternal)		
COX4I2	"Exocrine pancreatic insufficiency, dyserythropoietic anemia, and calvarial hyperostosis"	AR			
COX6B1	Mitochondrial complex IV deficiency	AR	N/A		
COX7B	"Aplasia cutis congenita, reticulolinear, with microcephaly, facial dysmorphism and other congenital anomalies"	XL	N/A		
CP	Aceruloplasminemia; Hypoceruloplasminemia	AR			
CPA6	"Febrile seizures, familial, 11; Epilepsy, familial temporal lobe, 5"	AD/AR	N/A		
CPN1	Carboxypeptidase N deficiency	AR	N/A		
CPOX	"Coproporphyria, hereditary; Harderoporphyria"	AD/AR			
CPS1	Carbamoylphosphate synthetase I deficiency	AR			
CPT1A	Carnitine palmitoyltransferase deficiency I	AR			
CPT2	Carnitine palmitoyltransferase II deficiency	AR			
CR1	Knops blood group system	BG			
CR2	"Common variable immune deficiency, 7"	AR			
CRADD	"Mental retardation, autosomal recessive 34"	AR	N/A		
CRB1	"Leber congenital amaurosis 8; Retinitis pigmentosa 12, autosomal recessive; Pigmented paravenous chorioretinal atrophy "	AD/AR	N/A		
CRBN	"Mental retardation, autosomal recessive 2"	AR	N/A		
CREBBP	Rubinstein-Taybi syndrome	AD			
CRELD1	"Atrioventricular septal defect, partial, with heterotaxy syndrome"	AD	N/A		
CRLF1	"Crisponi syndrome; Cold-induced sweating syndrome, type 1 "	AR			
CRTAP	"Osteogenesis imperfecta, type VII"	AR	N/A		
CRX	Leber congenital amaurosis 7; Cone-rod retinal dystrophy 2	AD/AR	N/A		
CRYAA	"Cataract, autosomal dominant nuclear; Cataract, congenital, autosomal recessive; Cataract, zonular central nuclear, autosomal dominant "	AD/AR	N/A		
CRYAB	"Myopathy, myofibrillar, 2; Cardiomyopathy, dilated, 1II; Congenital cataract and cardiomyopathy; Cataract, myofibrillar myopathy and cardiomyopathy"	AD	"Allelic with Cataract, posterior polar, 2 (AD); Myopathy, myofibrillar, fatal infantile hypertonic, alpha-B crystallin-related (AR)"		
CRYBA1	"Cataract, congenital zonular, with sutural opacities"	AD	N/A		
CRYBA4	"Microphthalmia, isolated, with cataract 4; Cataract, lamellar 2"	AD	N/A		
CRYBB1	"Cataract, congenital nuclear, autosomal recessive 3; Cataract, pulvurent"	AD/AR	N/A		
CRYBB2	"Cataract, sutural, with punctate and cerulean opacities; Cataract, Coppock-like; Cataract, congenital, cerulean type, 2"	AD	N/A		
CRYBB3	"Cataract, congenital nuclear, autosomal recessive, 2"	AR	N/A		
CRYGB	"Cataract, autosomal dominant, multiple types 2"	AD	N/A		
CRYGC	"Cataract 2, multiple types"	AD	N/A		
CRYGD	"Cataract 4, multiple types"	AD	N/A		
CRYGS	"Cataract, progressive polymorphic cortical"	AD	N/A		
CSF1R	"Leukoencephalopathy, diffuse hereditary, with spheroids"	AD	N/A		
CSF2RA	"Surfactant metabolism dysfunction, pulmonary, 4"	XL			
CSF2RB	"Surfactant metabolism dysfunction, pulmonary, 5"	AR			
CSF3R	"Neutrophilia, hereditary"	AD	N/A		
CSNK1D	"Advanced sleep-phase syndrome, familial, 2"	AD	N/A		
CSRP3	"Cardiomyopathy, familial hypertrophic 12; Cardiomyopathy, dilated, 1M"	AD			
CST3	Cerebral amyloid angiopathy	AD	N/A		
CSTA	"Exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of Siemens-like"	AR	N/A		
CSTB	Myoclonic epilepsy of Unverricht and Lundborg	AR	N/A		
CTC1	Cerebroretinal microangiopathy with calcifications and cysts	AR	N/A		
CTDP1	"Congenital cataracts, facial dysmorphism, and neuropathy"	AR			
CTH	Cystathioninuria	AR	N/A		
CTHRC1	Barrett esophagus/Esophageal adenocarcinoma	AD			
CTNNA1	"Hereditary diffuse gastric cancer, familial"	AD			
CTNNB1	"Mental retardation, autosomal dominant, 19"	AD	N/A		
CTNS	Cystinosis	AR			
CTSA	Galactosialidosis	AR			
CTSC	"Haim-Munk syndrome; Papillon-Lefevre syndrome; Periodontitis, prepubertal"	AR			
CTSD	"Ceroid lipofuscinosis, neuronal, 10"	AR	N/A		
CTSF	"Kufs disease, type B, autosomal recessive"	AR	N/A		
CTSK	Pycnodysostosis	AR	N/A		
CUBN	"Megaloblastic anemia-1, Finnish type"	AR			
CUL3	"Pseudohypoaldosteronism, type IIE"	AD			
CUL4B	"Mental retardation, X-linked, syndromic 15"	XL	N/A		
CUL7	Three M syndrome 1; Yakut short stature syndrome	AR	N/A		
CXCR4	"Warts, hypogammaglobulinemia, infections, and myelokathexis (WHIM syndrome)"	AD			
CYB5A	"46, XY disorder of sex development; Methemoglobinemia, type IV "	AR			
CYB5R3	Methemoglobinemia due to methemoglobin reductase deficiency	AR			
CYBA	"Chronic granulomatous disease, autosomal, due to deficiency of CYBA"	AR			
CYBB	"Chronic granulomatous disease, X-linked; Atypical mycobacteriosis, familial, X-linked 2"	XL			
CYCS	Thrombocytopenia 4	AD	N/A		
CYLD	"Spiegler-Brooke syndrome; Trichoepithelioma, multiple familial, 1; Cylindromatosis, familial"	AD			
CYP11A1	"Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete"	AD/AR			
CYP11B1	"Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency; Glucocorticoid-remediable aldosteronism"	AR/AD			
CYP11B2	Corticosterone methyloxidase type I deficiency; Corticosterone methyloxidase type II deficiency;  Glucocorticoid-remediable aldosteronism	AD/AR			
CYP17A1	"Adrenal hyperplasia, congenital, due to 17-alpha-hydroxylase deficiency"	AR			
CYP19A1	Aromatase deficiency	AR	"Allelic with Aromatase excess syndrome (AD), in which medical treatment (eg, with aromatase inhibitors) can be beneficial, but it is unclear if early (genetic) diagnosis would be advantageous"		
